번호,시도명,시군구명,관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
2,강원도,춘천시,청평사,관광지,강원도 춘천시 북산면 오봉산길 580,,37.9866506573,127.8179934768,173405,도로+주차장+하수처리장 1동+관리사무소 2동+매표소 2동+화장실 3동+다목적광장,콘도미니엄 1동+여관 1동+펜션 5동,,야영장+공원+조경휴게지+광장,상가 9동,,1987-06-15,1000,194,강원도에서 손에 꼽히는 고즈넉한 절  청평사가 있으며  오봉산에서 흘러오는 청평사 계곡이 있다. 계곡의 가운데 쯤에는 아름다운 구송폭포가 자리하고 있다.,033-250-4360,강원도 춘천시청,2019-08-31,4180000,강원도 춘천시
3,강원도,춘천시,구곡폭포,관광지,강원도 춘천시 남산면 강촌구곡길 254,,37.7970327597,127.6158519723,914206,관리사무소 1동+주차장+공중화장실 4동+주륜장+오수처리장+배수지+도로,,운동시설 1동(미착공),전망휴게소 1동+야생화원(미착공)+생태습지+생태연못+야영장 7동(미착공)+조경휴게지,상가 19동,,1981-02-13,1000,242,봉화산 근처 아홉구비를 돌아 떨어지는 구곡폭포와 탄성을 자아내는 하늘벽 바위 등 자연경관이 출중한 곳이며  깔닥재를 넘으면 자연부락인 문배마을까지 볼 수 있다.,033-250-3003,강원도 춘천시청,2019-08-31,4180000,강원도 춘천시
4,강원도,원주시,간현관광지,관광지,강원도 원주시 지정면 소금산길 26,강원도 원주시 지정면 간현리 1056-5,37.3648932739,127.8325440009,364644,관리사무소+주차장+화장실+샤워장,민박+모텔,풋살장+족구장,야영장+공연장+수련원,,,1984-05-02,50000,268,섬강과 삼산천 강물이 합수되는 지점에 위치하고 있어 빼어난 자연경관과 소금산 등반 등을 할 수 있음,033-737-4765,강원도 원주시청,2019-05-28,4190000,강원도 원주시
5,강원도,강릉시,옥계해변관광지,관광지,강원도 강릉시 옥계면 금진리 799-16일원,강원도 강릉시 옥계면 금진리 799-16일원,37.627622,129.047977,215839,화장실+주차장+샤워장,,,여성수련원,,,1980-05-28,900,180,옥계해변관광지,033-640-5685,강릉시관광개발과,2019-07-09,4200000,강원도 강릉시
6,강원도,강릉시,주문진해변관광지,관광지,강원도 강릉시 주문진읍 향호리 8-22일원,강원도 강릉시 주문진읍 향호리 8-22일원,37.911352,128.815606,484200,화장실+주차장+샤워장,베네키아호텔,,교직원연수원,,,1984-07-06,1000,250,주문진해변관광지,033-640-5685,강릉시관광개발과,2019-07-09,4200000,강원도 강릉시
7,강원도,강릉시,연곡해변관광지,관광지,강원도 강릉시 연곡면 동덕리 99-13일원,강원도 강릉시 연곡면 동덕리 99-13일원,37.858992,128.851409,169603,관리사무소+화장실+주차장+샤워장,캠핑장(145면),,,,,1986-03-12,600,120,연곡해변관광지,033-640-5685,강릉시관광개발과,2019-07-09,4200000,강원도 강릉시
8,강원도,강릉시,등명해변관광지,관광지,강원도 강릉시 강동면 정동진리 440-41일원,강원도 강릉시 강동면 정동진리 440-41일원,37.702604,129.010324,193660,화장실+주차장,다우리조텔  민박,레일바이크,정동진시간박물관,,,1997-08-02,600,120,등명해변관광지,033-640-5685,강릉시관광개발과,2019-07-09,4200000,강원도 강릉시
9,강원도,강릉시,대관령어흘리관광지,관광지,강원도 강릉시 성산면 어흘리 508일원,강원도 강릉시 성산면 어흘리 508일원,37.719113,128.793989,163160,화장실,,,,,,2014-12-26,0,0,성산면 대관령 어흘리관광지,033-640-5685,강릉시관광개발과,2019-07-09,4200000,강원도 강릉시
10,강원도,동해시,무릉계곡,관광지,강원도 동해시 삼화로 584(삼화동),강원도 동해시 삼화동 산267-3,37.4635129,129.0149671,166000,관리사무소(1)+주차장(3)+샤워장(2)+화장실(4)+관광안내소(1)+전기시설+통신시설+상하수도시설,야영장(2)+여관(2),,야영장,,관리사무실,1977-03-01,5000,520,신선이 노닐었다는 무릉계곡명승지 일명 무릉도원이라 불리는 무릉계곡 명승지는 두타산과 청옥산을 배경으로 이루어진 계곡으로 수많은 기암괴석과 절경들이 장관을 이루고 있어 마치 현존하는 선경에 와있는 듯한 느낌을 준다.,033-530-2231,강원도 동해시청,2019-09-16,4210000,강원도 동해시
11,강원도,동해시,망상,관광지,강원도 동해시 동해대로 6314(망상동),강원도 동해시 망상동 393-11,37.5958689,129.0848451,459397,관리사무소(3)+주차장(6)+샤워장(2)+화장실(5)+관광안내소(1)+전기시설+통신시설+상하수도시설,관광호텔(1)+리조트(1)+가족호텔(1),족구장,야영장+한옥체험+해수욕장,,관리사무실,1977-03-01,3000,1000,눈앞에 바로 펼쳐지는 깨끗한 백사장과 맑고 푸른 바다  상쾌한 바닷바람과 해가 뜨는 드넓은 수평선을 느낄 수 있는 해수욕장과 오토캠핑리조트등이 있다,033-530-2231,강원도 동해시청,2019-09-16,4210000,강원도 동해시
12,강원도,동해시,추암,관광지,강원도 동해시 촛대바위길 28(추암동),강원도 동해시 추암동 1,37.477063,129.159196,33216,관리사무소(1)+주차장(2)+샤워장(1)+화장실(2)+관광안내소(1)+전기시설+통신시설+상하수도시설,야영장+모텔,,야영장+근린공원+해수욕장,,관리사무실,2006-02-01,2000,331,애국가 첫 소절의 배경화면으로 유명한 각종 기암괴석이 조화를 이루는 촛대바위  이 바위에 걸리는 아침 해돋이가 가히 장관이라 할 수 있어 관광객들이 가장 선호하는 해돋이 명소이다.,033-530-2231,강원도 동해시청,2019-09-16,4210000,강원도 동해시
13,강원도,태백시,구문소 관광지,관광지,강원도 태백시 동태백로11(동점동),강원도 태백시 동점동 299-1,37.0929806,129.042284,130000,주차장+도로)+공중화장실+다목적공원+자연사박물관,구문소마을펜션 3동,,,,,1999-11-12,5000,150,천연기념물인 구문소와 접목되어 자연환경적 특성을 부각하고 지질학습 및 화석 산출지의 탐방자원화  체류형 관광시설 도입,033-550-2082,태백시,2019-06-17,4220000,강원도 태백시
14,강원도,삼척시,삼척해수욕장관광지,관광지,강원도 삼척시 수로부인길 453,강원도 삼척시 갈천동 225,37.4703434362,129.164734,236846,관리사무소(2)+주차장(1)+샤워장(3)+화장실(4)+입구광장(1)+도로(1식),콘도미니엄(38)+ 호텔(1)+여관(6)+펜션(6),실내운동시설(1),정자(1)  야영장(1)  야외공연장(1),,,1984-07-06,300,1019,대명 쏠비치 리조트 연계운영,033-570-3547,삼척시,2019-05-17,4240000,강원도 삼척시
15,강원도,삼척시,맹방관광지,관광지,강원도 삼척시 근덕면 상맹방길 30-80,강원도 삼척시 근덕면 하맹방리 221-45,37.395911,129.2207941345,782960,주차장+화장실,가족호텔(1)+콘도(2)+여관(1)+펜션(1),다목적운동장(1)+어린이놀이터(1)+일반대중골프장(1),노인휴양촌(2)  야영장(2),,,1980-05-28,500,1543,맹방해수욕장 등 연계 운영,033-570-3547,삼척시,2019-05-17,4240000,강원도 삼척시
16,강원도,삼척시,초당관광지,관광지,강원도 삼척시 근덕면 미근로 1629,강원도 삼척시 근덕면 교곡리 382-1,37.3764879083,129.2047561232,2157243,직원숙소(1)+기사식당(1)+창고(1)+ 배수지+광장+주차장+도로+수위실(2)+ 관리동(3),게스트하우스(23실)  콘도미니엄(266실)  호텔(54실)  여관(65실)  가족호텔(75실),골프장(18홀),민속전시설(64)  공예촌(34) 종합전시관(1),,,1990-04-19,200,306,대중골프장 조성 연계 운영,033-570-3547,삼척시,2019-05-17,4240000,강원도 삼척시
17,강원도,삼척시,장호관광지,관광지,강원도 삼척시 근덕면 삼척로 2154,강원도 삼척시 근덕면 장호리 318-1,37.2874897682,129.3083364774,175400,관리사무소(2)+주차장(3)+입구광장+도로(1식),여관(1)  콘도미니엄(3),해상로프웨이(2),정자(1)  오토캠핑장(1식)  청혼의장(1식)  조경휴게시설(2)  등대(1),,,1979-06-20,200,617,해상로프웨이+어촌체험+장호비치캠핑장 조성 연계운영,033-570-3547,삼척시,2019-05-17,4240000,강원도 삼척시
18,강원도,횡성군,어답산관광지,관광지,강원도 횡성군 갑천면 어답산로 516,강원도 횡성군 갑천면 병지방리 539-1,37.5938086138,128.0575207343,256567,캠핑장  계곡,민박 펜션,족구장,,,,1999-09-27,10000,400,병지방계곡 캠핑장,033-340-2545,횡성군청,2019-06-10,4260000,강원도 횡성군
19,강원도,횡성군,유현문화관광지,관광지,강원도 횡성군 서원면 경강로유현1길 30,강원도 횡성군 서원면 유현리 1097,37.5293633,127.818847,147959,성당  유물전시관,,,,,,2003-04-12,5000,60,풍수원성당  유물전시관  산책로,033-340-2546,횡성군청,2019-06-10,4260000,강원도 횡성군
20,강원도,횡성군,웰리힐리파크 관광단지,관광단지,강원도 횡성군 둔내면 고원로 451,강원도 횡성군 둔내면 두원리 204,37.4910069,128.2481666,4830709,스키장 콘도 골프장,콘도,유원시설  공연장,,,,2005-06-15,10000,500,스키장  골프장  곤돌라  콘도,033-340-3414,신안종합리조트,2019-06-10,4260000,강원도 횡성군
21,강원도,영월군,고씨굴 관광지,관광단지,강원도 영월군 김삿갓면 영월동로 1111,강원도 영월군 김삿갓면 진별리 506-1,37.131079,128.535639,106.383,화장실(2동)+주차장+관광안내소+전기+통신+상하수도시설,모텔(2동),,박물관+전시관,관광식당,,1971-05-21,1000,470,천연기념물 제219호로 지정된 석회동굴 관광지,033-375-6556,영월군시설관리공단,2018-08-26,4270000,강원도 영월군
22,강원도,평창시,이효석문화예술촌,관광지,강원도 평창군 봉평면 효석문학길 73-25,강원도 평창군 봉평면 창동리 544-3 이효석문화관,37.6133325,128.3701239,31961,화장실,,,이효석문학관(기념관  자료 전시실)  효석달빛언덕  이효석생가 복원동  문학의 숲(야외),카페  야외쉼터,,2018-06-29,3000,250,이효석문화예술촌은 가산 이효석의 생애와 문학세계를 볼 수 있는 곳으로 특히 이효석문학관에는 이효석 문학전시실과 다양한 문학체험을 할 수 있는 문학교실  학예연구실 등으로 이루어져 있다. 문학전시실은 그의 생애와 문학세계를 시간의 흐름에 따라 볼 수 있도록 구성하였으며  재현한 창작실  옛 봉평 장터 모형  문학과 생애를 다룬 영상물  어린이용 영상물 등을 통해 다양한 체험이 가능하도록 준비하였다. 또 문학교실에서는 다양한 영상물을 시청할 수 있고 문예행사도 볼 수 있으며  학예연구실에는 이효석과 관련된 다양한 자료를 준비하여 그의 문학세계를 깊이 연구하는 공간으로 자리잡고 있으며  문학정원에서는 자연의 아름다움과 문학의 소중함을 느낄 수 있다.또한 이효석문화예술촌에는 이효석문학관 뿐만 아니라  사계절의 자연을 느낄 수 있는 꿈꾸는 정원과 야외광장인 나귀광장과 달빛광장이 있으며 효석달빛언덕을 한눈에 내려다 볼 수 있는 달빛나귀 전망대  이효석의 기억과 추억을 들여다 볼 수 있는 작은 도서관  카페  기념품샵이 있다.,033-336-8841,평창군 문화관광과,2019-05-27,4280000,강원도 평창군
23,강원도,평창시,무이예술관,관광지,강원도 평창군 봉평면 사리평길 233,강원도 평창군 봉평면 무이리 58 평창무이예술관,37.6154717,128.3487870,10568,화장실,,문화예술체험장,조각공원(야외전시장)  예술전시장(실내),,,2013-01-09,80,5,폐교로 남겨진 무이초등학교에 예술의 꽃이 활짝 폈다. 폐교를 복원해 조성한 예술인촌 평창무이예술관은 그 자체로 아름다운 볼거리가 되었다. 현재 이곳에서는 서양화가 정연서  조각가 오상욱  도예가 권순범  서예가 이천섭 등의 예술가들이 활발히 창작활동을 하고 있는 곳이다. 평창무이예술관을 찾으면 작가들의 작품활동 장면을 직접 볼 수 있고  다양한 체험프로그램에도 참여할 수 있다. 넓은 운동장은 야외조각공원으로 꾸며져 대형조각품들이 전시되어 있다. 예술전망대에 올라가면 그림과 같은 풍경이 펼쳐져 또 한 번의 감동을 선사한다.,033-335-6700,평창군 문화관광과,2019-05-27,4280000,강원도 평창군
24,강원도,평창시,백룡동굴,관광지,강원도 평창군 미탄면 문희길 63,강원도 평창군 미탄면 마하리 82 백룡동굴생태체험학습장,37.2777953,128.577051,956433,화장실  세면장,,,,,,2005-01-01,240,40,백룡동굴의 입구는 해발고도 235m 지점에 있는 천연동굴로서 약 5억년 전에 생성된 것으로 보인다. 동강의 수면으로부터 약 15m 위의 지점에 위치한다. 백룡동굴은 오래 전부터 마을 주민들에게 알려져 왔으며  동굴 입구에 온돌이 있고 그 주위에 토기조각들이 발견되는 것으로 보아 오래 전에는 우리 조상의 거처로도 사용되었던 것으로 생각된다. 또한 약 3만년 전의 것으로 추측되는 소의 대퇴부 뼈가 석순에 응고된 채 발견되어 신비로움을 더해주고 있다. 특히 굴의 주변을 감싸고 있는 백운산과 굽이쳐 흐르는 강줄기는 때묻지 않은 아름다운 자연 경관을 그대로 간직하고 있어 선경을 연상하게 해 준다.,033-334-7200,평창군 문화관광과,2019-05-27,4280000,강원도 평창군
25,강원도,정선군,화암관광지,관광지,강원도 정선군 화암면 화암리 540번지 일원,,37.350854,128.790064,213235,관리사무소(3동)+오수처리장(2동)+화장실(6동)+주차장(3개소)+동굴관리소(2동)+입출구광장(2식)+도로(2.6km)+정문매표소(1동)+관람객 운송시설(2개소  탑승장포함),,,,,,1977-03-17,3000,576,화암동굴과 화암약수 등 천혜의 자연자원과 청정한 주변 환경으로 인한 개발 잠재력이 풍부한 지역,033-560-3415,정선군 시설관리공단,2019-06-30,4290000,강원도 정선군
26,강원도,정선군,아우라지관광지,관광지,강원도 정선군 여량면 여량리  유천리 일원,,37.475854,128.724151,122244,관리사무소(1동)+화장실(3동)+수변산책로+데크산책로,,,,,,2002-09-13,1260,200,여량면 여량리에 위치해 있으며  강원도 무형문화재 제1호인 정선 아리랑의 대표적인 발상지 중 한 곳. 예부터 강과 산이 수려하고 평창군 도암면에서 발원되어 흐르고 있는 구절쪽의 송천과 삼척군 하장면에서 발원하여 흐르고 있는 임계쪽의 골지천이 합류되어 “어우러진다”하여 아우라지라 불리움,033-560-2399,강원도 정선군청,2019-06-30,4290000,강원도 정선군
27,강원도,철원군,직탕,관광지,강원도 철원군 갈말읍 직탕길 32,강원도 철원군 갈말읍 상사리 552,38.2069176,127.2689997,94530,도로  주차장  화장실  산책로  자전거도로  오수처리장  관리사무소,,,,,,2001-02-01,85784,192,천혜의 자연환경을 자랑하는 한탄강 상류지역으로 강을 횡단하여 떨어지는 수직 낙하 폭이 80m의 절벽으로 이루어진 직탕폭포가 있는 곳으로 맑고 깨끗한 풍부한 수량  빼어난 주상절리 협곡  절경을 감상하며 뛰어내리는 태봉대교 번지점프  자연의 맛이 살아 있는 매운탕이 유명한 곳이다. 한탄강 국가지질공원으로 지정받은 지질명소이기도 하다.,033-450-5534,철원군청 관광과,2019-07-17,4300000,강원도 철원군
28,강원도,철원군,고석정,관광지,강원도 철원군 동송읍 태봉로 1825,강원도 철원군 동송읍 장흥리 20-1,38.1865639,127.2874501,793689,시설물관리사업소  주차장  화장실  매표소  오수처리장  도로 및 광장  임꺽정상  분수대관광정보센터  관광안내소,관광호텔,다목적운동장  일반유원시설,잔디광장  정자  철원관광정보센터  농업전시관  팔각정  생태탐방로,판매점  종합휴게소,관광안내소,1977-03-17,166200,628,1977년 국민관광지로 지정된 고석정은 한탄강 중류에 위치한 철원구경의 하나로 강 중앙에 10m 높이의 거대한 기암이 우뚝 솟아 있는 것이 특이한 남한대륙의 유일한 현무암 분출지이며 조선조 초기 임꺽정의 활동무대로도 널리 알려져 있어 많은 전설이 전해지고 있다. 이 곳에서 상류로 약 2km 지점에 직탕폭포와 하류 약 2km 지점에 순담이 위치해 있으며 넓은 잔디광장과 유원시설 등이 있어 어느 때나 관광객이 즐겨 찾고 있다. 또한 시설물관리사업소가 있어 안보관광도 함께 할 수 있는 관광의 최적지이다.,033-450-5534,철원군청 관광과,2019-07-17,4300000,강원도 철원군
29,강원도,화천군,광덕계곡관광지,관광지,강원도 화천군 사내면 포화로 일원,강원도 화천군 사내면 광덕리 일원,38.107700000,127.441200000,26070,관리사무소2개소  일반광장1개소  공중화장실7개소  주차장13개소  오수처리장1개소,,,,,,1995-08-03,800,200,광덕계곡은 백운산과 광덕산 사이에 위치하며 자연경관이 수려하고 오염되지 않은 작은폭포  작은소 등 개끗한 물이 일품이다. 숙박시설이 마련되어 있어 여름 피서지로서 안성맞춤이다.,033-440-2562,화천군청,2018-08-10,4310000,강원도 화천군
30,강원도,양구군,두타연,관광지,,강원도 양구군 방산면 고방산리 1024,38.272446,127.995484,30,화장실  주차장,,,,,,1996-05-07,1000,50,금강산에서 발원한 물줄기가 골짜기를 만나 아담한 폭포를 이루고  그 아래 만들어진 너른 소를 일컫는다.,033-480-2278,강원도 양구군청,2019-06-12,4320000,강원도 양구군
31,강원도,양구군,한반도섬,관광지,,강원도 양구군 양구읍 고대리 649-2,38.130582,127.982972,4500,화장실  주차장,,파로호뱃길나루터: 카누  카약  수상자전거  마이보트 이용가능,,,,2009-07-09,5000,100,한반도지형을 그대로 축소한 섬,033-480-2237,강원도 양구군청,2019-06-12,4320000,강원도 양구군
32,강원도,양구군,을지전망대,관광지,강원도 양구군 해안면 전망대로 540,강원도 양구군 해안면 후리 621,38.3247911,128.1355517642,324,화장실  주차장,,,,,,1988-12-10,200,20,해발 1 049m DMZ 철책위에서 남북한의 대치상황을 한눈에 볼 수 있다,033-480-2674,강원도 양구군청,2019-06-12,4320000,강원도 양구군
33,강원도,양구군,제4땅굴,관광지,강원도 양구군 해안면 땅굴로 454,강원도 양구군 해안면 이현리 743,38.3196354237,128.1107276057,1652,화장실  주차장,,,안보전시관,,,1996-08-01,200,40,1990년 2월3일 발견   군사 분계선에서 1 028m 떨어진 곳에 위치,033-480-2674,강원도 양구군청,2019-06-12,4320000,강원도 양구군
34,강원도,양구군,국토정중앙천문대,관광지,강원도 양구군 남면 국토정중앙로 127,강원도 양구군 남면 도촌리 96-5,38.0689400086,128.0296779964,1166,화장실  주차장,,,휴게실  전시실  천체투영실  영상관,,,2007-05-31,50,55,우리나라의 중심에서 하늘을 바라보기 위해국토정중앙점 부근에 건설되어 2007년 5월 31일 개관,033-480-2586,강원도 양구군청,2019-06-12,4320000,강원도 양구군
